run,num_drones,target_found,iterations,target_pos,drone_0_start_pos,drone_0_found_in_iteration,drone_1_start_pos,drone_1_found_in_iteration,drone_2_start_pos,drone_2_found_in_iteration,drone_3_start_pos,drone_3_found_in_iteration,drone_4_start_pos,drone_4_found_in_iteration,drone_5_start_pos,drone_5_found_in_iteration,drone_6_start_pos,drone_6_found_in_iteration,drone_7_start_pos,drone_7_found_in_iteration,drone_8_start_pos,drone_8_found_in_iteration,drone_9_start_pos,drone_9_found_in_iteration,drone_10_start_pos,drone_10_found_in_iteration,drone_11_start_pos,drone_11_found_in_iteration,drone_12_start_pos,drone_12_found_in_iteration,drone_13_start_pos,drone_13_found_in_iteration,drone_14_start_pos,drone_14_found_in_iteration
20,15,True,1,"[-1.022261701789394, -0.7083044846663489, 1.0]","[-4, -4, 1.0]",89,"[-4, 4, 1.0]",29,"[4, -4, 1.0]",110,"[4, 4, 1.0]",470,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",1,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",240,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",2,"[-3, 0, 1.0]",7,"[3, 0, 1.0]",154,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
21,15,True,28,"[0.47978226213714237, 4.017181063184696, 1.0]","[-4, -4, 1.0]",150,"[-4, 4, 1.0]",63,"[4, -4, 1.0]",144,"[4, 4, 1.0]",28,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",92,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",79,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",102,"[-3, 0, 1.0]",41,"[3, 0, 1.0]",33,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
22,15,True,1,"[-2.272261757007714, -1.6400160363904237, 1.0]","[-4, -4, 1.0]",24,"[-4, 4, 1.0]",18,"[4, -4, 1.0]",86,"[4, 4, 1.0]",171,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",1,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",188,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",40,"[-3, 0, 1.0]",11,"[3, 0, 1.0]",122,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
23,15,True,1,"[2.3346059875850687, 1.591339355355558, 1.0]","[-4, -4, 1.0]",183,"[-4, 4, 1.0]",57,"[4, -4, 1.0]",113,"[4, 4, 1.0]",36,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",151,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",1,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",117,"[-3, 0, 1.0]",199,"[3, 0, 1.0]",2,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
24,15,True,1,"[2.4936893748912343, 2.0730132876273597, 1.0]","[-4, -4, 1.0]",235,"[-4, 4, 1.0]",60,"[4, -4, 1.0]",61,"[4, 4, 1.0]",115,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",188,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",1,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",94,"[-3, 0, 1.0]",167,"[3, 0, 1.0]",5,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
25,15,True,3,"[0.7852893920659367, -1.7565142965729352, 1.0]","[-4, -4, 1.0]",99,"[-4, 4, 1.0]",78,"[4, -4, 1.0]",10,"[4, 4, 1.0]",189,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",22,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",169,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",3,"[-3, 0, 1.0]",16,"[3, 0, 1.0]",71,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
26,15,True,1,"[-4.277580468014587, -2.591238649815865, 1.0]","[-4, -4, 1.0]",1,"[-4, 4, 1.0]",59,"[4, -4, 1.0]",452,"[4, 4, 1.0]",356,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",115,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",327,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",82,"[-3, 0, 1.0]",161,"[3, 0, 1.0]",182,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
27,15,True,12,"[1.9392604768977053, 2.9108060231033983, 1.0]","[-4, -4, 1.0]",208,"[-4, 4, 1.0]",31,"[4, -4, 1.0]",70,"[4, 4, 1.0]",55,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",188,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",12,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",169,"[-3, 0, 1.0]",441,"[3, 0, 1.0]",25,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
28,15,True,41,"[4.627129968441871, 1.37886164561945, 1.0]","[-4, -4, 1.0]",122,"[-4, 4, 1.0]",207,"[4, -4, 1.0]",60,"[4, 4, 1.0]",41,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",258,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",128,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",131,"[-3, 0, 1.0]",164,"[3, 0, 1.0]",54,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
29,15,True,1,"[2.864866233301637, 1.6626867167761583, 1.0]","[-4, -4, 1.0]",134,"[-4, 4, 1.0]",108,"[4, -4, 1.0]",108,"[4, 4, 1.0]",50,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",139,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",1,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",93,"[-3, 0, 1.0]",117,"[3, 0, 1.0]",1,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1
