run,num_drones,target_found,iterations,target_pos,drone_0_start_pos,drone_0_found_in_iteration,drone_1_start_pos,drone_1_found_in_iteration,drone_2_start_pos,drone_2_found_in_iteration,drone_3_start_pos,drone_3_found_in_iteration,drone_4_start_pos,drone_4_found_in_iteration,drone_5_start_pos,drone_5_found_in_iteration,drone_6_start_pos,drone_6_found_in_iteration,drone_7_start_pos,drone_7_found_in_iteration,drone_8_start_pos,drone_8_found_in_iteration,drone_9_start_pos,drone_9_found_in_iteration,drone_10_start_pos,drone_10_found_in_iteration,drone_11_start_pos,drone_11_found_in_iteration,drone_12_start_pos,drone_12_found_in_iteration,drone_13_start_pos,drone_13_found_in_iteration,drone_14_start_pos,drone_14_found_in_iteration,drone_15_start_pos,drone_15_found_in_iteration,drone_16_start_pos,drone_16_found_in_iteration,drone_17_start_pos,drone_17_found_in_iteration,drone_18_start_pos,drone_18_found_in_iteration,drone_19_start_pos,drone_19_found_in_iteration
21,20,True,56,"[-0.6137311925751217, 4.895875626754657, 1.0]","[-4, -4, 1.0]",148,"[-4, 4, 1.0]",56,"[4, -4, 1.0]",125,"[4, 4, 1.0]",98,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",270,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",206,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",160,"[-3, 0, 1.0]",196,"[3, 0, 1.0]",155,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
22,20,True,4,"[-0.9483970291260091, 0.4647416083936795, 1.0]","[-4, -4, 1.0]",410,"[-4, 4, 1.0]",20,"[4, -4, 1.0]",60,"[4, 4, 1.0]",195,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",52,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",264,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",30,"[-3, 0, 1.0]",4,"[3, 0, 1.0]",216,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
23,20,True,41,"[-1.6774433168876604, 2.3101258933004774, 1.0]","[-4, -4, 1.0]",54,"[-4, 4, 1.0]",164,"[4, -4, 1.0]",124,"[4, 4, 1.0]",41,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",41,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",245,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",44,"[-3, 0, 1.0]",81,"[3, 0, 1.0]",216,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
24,20,True,55,"[2.772689710373477, 3.2486469054391467, 1.0]","[-4, -4, 1.0]",406,"[-4, 4, 1.0]",83,"[4, -4, 1.0]",282,"[4, 4, 1.0]",55,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",213,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",127,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",183,"[-3, 0, 1.0]",156,"[3, 0, 1.0]",90,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
25,20,True,25,"[-1.3061107096292366, 3.7963409319227566, 1.0]","[-4, -4, 1.0]",175,"[-4, 4, 1.0]",25,"[4, -4, 1.0]",142,"[4, 4, 1.0]",276,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",55,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",39,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",127,"[-3, 0, 1.0]",66,"[3, 0, 1.0]",184,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
26,20,True,1,"[3.984288451232352, -4.921449326350844, 1.0]","[-4, -4, 1.0]",252,"[-4, 4, 1.0]",235,"[4, -4, 1.0]",1,"[4, 4, 1.0]",193,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",115,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",226,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",77,"[-3, 0, 1.0]",235,"[3, 0, 1.0]",176,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
27,20,True,1,"[0.09315713507738987, -0.7038079984675516, 1.0]","[-4, -4, 1.0]",55,"[-4, 4, 1.0]",189,"[4, -4, 1.0]",47,"[4, 4, 1.0]",200,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",121,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",331,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",1,"[-3, 0, 1.0]",47,"[3, 0, 1.0]",323,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
28,20,True,20,"[1.2864367000056145, 3.864505136088601, 1.0]","[-4, -4, 1.0]",231,"[-4, 4, 1.0]",85,"[4, -4, 1.0]",131,"[4, 4, 1.0]",49,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",178,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",20,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",114,"[-3, 0, 1.0]",97,"[3, 0, 1.0]",81,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
29,20,True,16,"[4.065152992768846, -2.4683429094537668, 1.0]","[-4, -4, 1.0]",176,"[-4, 4, 1.0]",150,"[4, -4, 1.0]",16,"[4, 4, 1.0]",87,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",76,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",136,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",92,"[-3, 0, 1.0]",87,"[3, 0, 1.0]",32,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
30,20,True,22,"[-1.722976001658727, -4.029356734034179, 1.0]","[-4, -4, 1.0]",22,"[-4, 4, 1.0]",181,"[4, -4, 1.0]",165,"[4, 4, 1.0]",122,"[0, 0, 1.0]",-1,"[-2, -2, 1.0]",42,"[-2, 2, 1.0]",-1,"[2, -2, 1.0]",-1,"[2, 2, 1.0]",162,"[0, 2, 1.0]",-1,"[0, -2, 1.0]",27,"[-3, 0, 1.0]",67,"[3, 0, 1.0]",75,"[-1, 0, 1.0]",-1,"[1, 0, 1.0]",-1,"[0, 1, 1.0]",-1,"[0, -1, 1.0]",-1,"[-1, -1, 1.0]",-1,"[-1, 1, 1.0]",-1,"[1, -1, 1.0]",-1
